date,location,new_cases,new_deaths,total_cases,total_deaths
2019-12-31,Brazil,0.0,0.0,,
2020-01-01,Brazil,0.0,0.0,,
2020-01-02,Brazil,0.0,0.0,,
2020-01-03,Brazil,0.0,0.0,,
2020-01-04,Brazil,0.0,0.0,,
2020-01-05,Brazil,0.0,0.0,,
2020-01-06,Brazil,0.0,0.0,,
2020-01-07,Brazil,0.0,0.0,,
2020-01-08,Brazil,0.0,0.0,,
2020-01-09,Brazil,0.0,0.0,,
2020-01-10,Brazil,0.0,0.0,,
2020-01-11,Brazil,0.0,0.0,,
2020-01-12,Brazil,0.0,0.0,,
2020-01-13,Brazil,0.0,0.0,,
2020-01-14,Brazil,0.0,0.0,,
2020-01-15,Brazil,0.0,0.0,,
2020-01-16,Brazil,0.0,0.0,,
2020-01-17,Brazil,0.0,0.0,,
2020-01-18,Brazil,0.0,0.0,,
2020-01-19,Brazil,0.0,0.0,,
2020-01-20,Brazil,0.0,0.0,,
2020-01-21,Brazil,0.0,0.0,,
2020-01-22,Brazil,0.0,0.0,,
2020-01-23,Brazil,0.0,0.0,,
2020-01-24,Brazil,0.0,0.0,,
2020-01-25,Brazil,0.0,0.0,,
2020-01-26,Brazil,0.0,0.0,,
2020-01-27,Brazil,0.0,0.0,,
2020-01-28,Brazil,0.0,0.0,,
2020-01-29,Brazil,0.0,0.0,,
2020-01-30,Brazil,0.0,0.0,,
2020-01-31,Brazil,0.0,0.0,,
2020-02-01,Brazil,0.0,0.0,,
2020-02-02,Brazil,0.0,0.0,,
2020-02-03,Brazil,0.0,0.0,,
2020-02-04,Brazil,0.0,0.0,,
2020-02-05,Brazil,0.0,0.0,,
2020-02-06,Brazil,0.0,0.0,,
2020-02-07,Brazil,0.0,0.0,,
2020-02-08,Brazil,0.0,0.0,,
2020-02-09,Brazil,0.0,0.0,,
2020-02-10,Brazil,0.0,0.0,,
2020-02-11,Brazil,0.0,0.0,,
2020-02-12,Brazil,0.0,0.0,,
2020-02-13,Brazil,0.0,0.0,,
2020-02-14,Brazil,0.0,0.0,,
2020-02-15,Brazil,0.0,0.0,,
2020-02-16,Brazil,0.0,0.0,,
2020-02-17,Brazil,0.0,0.0,,
2020-02-18,Brazil,0.0,0.0,,
2020-02-19,Brazil,0.0,0.0,,
2020-02-20,Brazil,0.0,0.0,,
2020-02-21,Brazil,0.0,0.0,,
2020-02-22,Brazil,0.0,0.0,,
2020-02-23,Brazil,0.0,0.0,,
2020-02-24,Brazil,0.0,0.0,,
2020-02-25,Brazil,0.0,0.0,,
2020-02-26,Brazil,1.0,0.0,1.0,
2020-02-27,Brazil,0.0,0.0,1.0,
2020-02-28,Brazil,0.0,0.0,1.0,
2020-02-29,Brazil,0.0,0.0,1.0,
2020-03-01,Brazil,1.0,0.0,2.0,
2020-03-02,Brazil,0.0,0.0,2.0,
2020-03-03,Brazil,0.0,0.0,2.0,
2020-03-04,Brazil,0.0,0.0,2.0,
2020-03-05,Brazil,1.0,0.0,3.0,
2020-03-06,Brazil,5.0,0.0,8.0,
2020-03-07,Brazil,5.0,0.0,13.0,
2020-03-08,Brazil,0.0,0.0,13.0,
2020-03-09,Brazil,12.0,0.0,25.0,
2020-03-10,Brazil,0.0,0.0,25.0,
2020-03-11,Brazil,9.0,0.0,34.0,
2020-03-12,Brazil,18.0,0.0,52.0,
2020-03-13,Brazil,25.0,0.0,77.0,
2020-03-14,Brazil,21.0,0.0,98.0,
2020-03-15,Brazil,23.0,0.0,121.0,
2020-03-16,Brazil,79.0,0.0,200.0,
2020-03-17,Brazil,34.0,0.0,234.0,
2020-03-18,Brazil,57.0,1.0,291.0,1.0
2020-03-19,Brazil,137.0,3.0,428.0,4.0
2020-03-20,Brazil,193.0,2.0,621.0,6.0
2020-03-21,Brazil,283.0,5.0,904.0,11.0
2020-03-22,Brazil,224.0,7.0,1128.0,18.0
2020-03-23,Brazil,418.0,7.0,1546.0,25.0
2020-03-24,Brazil,345.0,9.0,1891.0,34.0
2020-03-25,Brazil,310.0,12.0,2201.0,46.0
2020-03-26,Brazil,232.0,11.0,2433.0,57.0
2020-03-27,Brazil,482.0,20.0,2915.0,77.0
2020-03-28,Brazil,502.0,15.0,3417.0,92.0
2020-03-29,Brazil,487.0,22.0,3904.0,114.0
2020-03-30,Brazil,352.0,22.0,4256.0,136.0
2020-03-31,Brazil,323.0,23.0,4579.0,159.0
2020-04-01,Brazil,1138.0,42.0,5717.0,201.0
2020-04-02,Brazil,1119.0,40.0,6836.0,241.0
2020-04-03,Brazil,1074.0,58.0,7910.0,299.0
